Name,Nationality,Matches
Sundaram Ravi,India,121
Kumar Dharmasena,Sri Lanka,94
Anil Chaudhary,India,87
Chettithody Shamshuddin,India,83
Marais Erasmus,South Africa,66
Nitin Menon,India,57
C. K. Nandan,India,57
Simon Taufel,Australia,55
Vineet Kulkarni,India,51
Asad Rauf,Pakistan,51
Bruce Oxenford,Australia,48
Chris Gaffaney,New Zealand,47
Rod Tucker,Australia,46
Billy Doctrove,West Indies,44
Rudi Koertzen,South Africa,42
Billy Bowden,New Zealand,38
Aleem Dar,Pakistan,38
Nigel Llong,England,37
K. N. Ananthapadmanabhan,India,33
Richard Illingworth,England,32
Sudhir Asnani,India,31
Shavir Tarapore,India,31
Russell Tiffin,Zimbabwe,30
Anil Dandekar,India,28
Daryl Harper,Australia,28
Amiesh Saheba,India,27
Virender Sharma,India,26
Nand Kishore,India,25
Paul Reiffel,Australia,24
Krishna Hariharan,India,21
Yeshwant Barde,India,19
Brian Jerling,South Africa,18
Johan Cloete,South Africa,17
Sanjay Hazare,India,17
Subrat Das,India,15
Krishnaraj Srinath,India,15
Ian Howell,South Africa,14
Suresh Shastri,India,14
Mark Benson,England,13
Abhijit Deshmukh,India,12
Pashchim Pathak,India,11
Rajesh Deshpande,India,8
Ulhas Gandhe,India,8
Gary Baxter,New Zealand,7
Steve Davis,Australia,7
Arani Jayaprakash,India,7
Simon Fry,Australia,6
Ian Gould,England,6
Tony Hill,New Zealand,6
G. A. Pratapkumar,India,6
Ivaturi Shivram,India,6
Krishnamachari Srinivasan,India,6
Tyron Wijewardene,Sri Lanka,6
Krishnamachari Bharatan,India,3
Shashank Ranade,India,2
Subroto Das,India,1
